Region,Country,Pre-2007,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 (partial),Operational but Unknown Year,Total 2007-2023
Global Total,,80,174,468,671,1170,3095,5881,12093,16325,22391,44370,43800,39308,51002,60923,61358,91792,78626,17508,551033
Africa,Algeria,0,0,0,0,0,20,0,0,20,20,213,123,38,0,0,0,0,0,20,454
Africa,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,382
Africa,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
Africa,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,68,0,0,105
Africa,Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,38
Africa,Egypt,0,0,0,0,0,20,0,0,0,10,0,20,139,1771,26,0,83,0,20,2089
Africa,Ghana,0,0,0,0,0,0,0,0,0,0,20,0,20,0,100,0,50,0,0,190
Africa,Kenya,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,40,112,0,40,246
Africa,Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30
Africa,Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,500
Africa,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,40
Africa,Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,41,0,0,101
Africa,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,30,0,0,0,100
Africa,Mauritania,0,0,0,0,0,0,0,15,0,0,0,50,0,0,0,0,0,0,0,65
Africa,Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25
Africa,Morocco,0,0,0,0,20,0,0,0,0,0,160,0,422,0,40,98,0,0,0,740
Africa,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,41,0,0,81
