Region,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 (Partial),Operational but Unknown Year
Global Total,,1912,4014,3644,5444,4317,7084,9690,13462,18370,27691,24569,34475,45553,32934,42932,53405,51967,47954,44165,54090,89566,82433,65796,32426,44324
Africa,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Africa,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Africa,Egypt,30,33,0,30,47,0,85,0,80,120,0,0,0,0,0,0,0,0,580,263,0,252,0,0,121
Africa,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,51,120,0,153,0,120,0,0,0,0,120,0,0
Africa,Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,11.5,0,0,0,310,0,197,0,0,0
Africa,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,100,0,0
Africa,Morocco,54,0,0,0,0,10,0,60,10,119,0,33,0,0,453,0,100,0,0,0,210,120,122,0,0
Africa,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Africa,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,103,0,0,0,50
Africa,South Africa,0,0,0,0,0,0,0,0,0,0,0,138,100,0,488,434,422,764,265,0,311,533,287,0,0
Africa,Tunisia,10,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
Africa,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,202,0,0,0,0,300,0
Americas,Argentina,18,0,0,0,0,0,0,0,0,0,0,25,83,50,25,0,0,25,494,962.75,1079,642,0,81,253
Americas,Aruba,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,108,0,0,0
Americas,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Americas,Brazil,0,0,0,0,0,0,199,10,95,214,289,354,591,341,2751,2622,2632,2091,2039,946,1744,3684.9,2776.5,2758.5,253.5
Americas,Canada,0,106,11,0,152,85,895,361,393,1017,558,1290,902,1596,1795,1459,662,319,563,597,154,506,1433,187,83
Americas,Chile,0,0,0,0,0,0,0,18,0,60,94,0,20,180,422,107,339,116,82,395,171,1207,678,468,183
Americas,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,434,0,201
Americas,Costa Rica,0,0,20,0,0,0,0,0,0,0,50,13,15,0,50,71,12,0,0,21,0,0,0,0,100
Americas,Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,17,0,0,0,0,0,0,0
Americas,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,25.2,0,52,0,0,50,0,48,182,0,0,0,0,96
Americas,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,50,0
Americas,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0
Americas,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,13,0,0,0,0
Americas,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,30,0,0,0,0,0,0
Americas,Honduras,0,0,0,0,0,0,0,0,0,0,0,102,0,0,24,50,0,59,0,0,0,0,0,0,0
Americas,Jamaica,0,0,0,0,21,0,0,0,0,0,18,0,0,0,0,0,60,0,0,0,0,0,0,0,0
Americas,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
Americas,Mexico,0,0,0,0,0,0,0,0,80,331,264,0,853,346,742,321,704,704,1003,906,517,583,108,0,693.6
Americas,Nicaragua,0,0,0,0,0,0,0,0,0,40,23,0,44,82,0,0,0,0,0,0,0,0,0,0,0
Americas,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.5,0,0,0,66,0,0
Americas,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,97,0,132,0,36,0,214.8,217,0
Americas,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0
Americas,United States,54,1188,405,1155,130,1108,1224,4258,5674,8585,4632,5330,11686,1039,4791,8688,8065,8729,8388,10801,19302,15275,10739,2659,0
Americas,Uruguay,0,0,0,0,0,0,0,0,24,0,10,17.2,0,0,462.3,299.8,351.1,292,0,0,0,0,0,0,70
Asia,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
Asia,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
