Region,Country,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,No Year
Global Total,,71162,86049,73596,73160,98454,35570,54470,86464,17982,34417,1062,242,1376,6044,2400,10000,0,1051528
Africa,Angola,0,114,0,0,0,52,88,48,0,0,62,42,36,44,100,0,0,116
Africa,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Africa,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Africa,Chad,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5059
Africa,Egypt,250,8000,1002,13703,0,0,0,0,0,0,0,0,0,0,0,0,0,25120
Africa,Ethiopia,200,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736
Africa,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365
Africa,Kenya,0,100,0,0,0,50,0,40,0,0,0,0,0,0,0,0,0,360
Africa,Madagascar,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
Africa,Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
Africa,Mali,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28100
Africa,Morocco,400,378,63,0,5000,0,0,3500,0,0,0,0,0,0,0,0,0,16630
Africa,Mozambique,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Africa,Namibia,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2804
Africa,Niger,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Réunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Africa,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Africa,South Africa,0,1671,533,0,0,0,0,0,0,0,0,0,40,0,0,0,0,445
Africa,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
Africa,Tanzania,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Tunisia,0,0,525,0,75,0,0,0,0,0,0,0,0,0,0,0,0,30
Africa,Uganda,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
Africa,Western Sahara,380,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
Africa,Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
Africa,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Americas,Argentina,832,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939
Americas,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Americas,Bermuda,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0
Americas,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Americas,Brazil,1277,4855,2816,1216,14519,2199,27935,0,0,0,0,0,0,0,0,0,0,125638
Americas,Canada,1044,2445,2118,1415,1070,0,0,0,0,0,0,0,0,0,0,0,0,3000
Americas,Chile,1454,961,1938,0,10160,0,0,400,0,0,0,0,0,0,0,0,0,7840
Americas,Colombia,1048,2473,1253,1120,450,0,0,0,0,4635,0,200,0,0,0,0,0,1093
Americas,Cuba,151,50,51,51,0,0,0,51,0,0,0,0,0,0,0,0,0,85
Americas,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544
Americas,Ecuador,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879
Americas,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
Americas,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Americas,Guatemala,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Americas,Honduras,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Americas,Mexico,30,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176
Americas,Panama,17,22,52,0,0,0,0,0,0,22,0,0,0,0,0,0,0,989
Americas,Peru,0,2279,1711,2071,402,452,0,0,0,0,0,0,0,0,0,0,0,0
Americas,United States,6411,14443,10405,9622,11619,2222,6528,3000,0,0,0,0,0,0,0,0,0,52976
Americas,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
Asia,Azerbaijan,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia,Bangladesh,130,65,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,500
Asia,China,33127,24439,20530,4200,800,1000,0,0,0,0,0,0,0,0,0,0,0,334187
Asia,Cyprus,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
